\texttrademark{}	™
\textregistered{}	®
\copyright{}	©
\"A	Ä
\"E	Ë
\"H	Ḧ
\"I	Ï
\"O	Ö
\"U	Ü
\"W	Ẅ
\"X	Ẍ
\"Y	Ÿ
\"a	ä
\"e	ë
\"h	ḧ
\"i	ï
\"o	ö
\"t	ẗ
\"u	ü
\"w	ẅ
\"x	ẍ
\"y	ÿ
\"{A}	Ä
\"{E}	Ë
\"{H}	Ḧ
\"{I}	Ï
\"{O}	Ö
\"{U}	Ü
\"{W}	Ẅ
\"{X}	Ẍ
\"{Y}	Ÿ
\"{a}	ä
\"{e}	ë
\"{h}	ḧ
\"{i}	ï
\"{o}	ö
\"{t}	ẗ
\"{u}	ü
\"{w}	ẅ
\"{x}	ẍ
\"{y}	ÿ
\'A	Á
\'C	Ć
\'E	É
\'G	Ǵ
\'I	Í
\'K	Ḱ
\'L	Ĺ
\'M	Ḿ
\'N	Ń
\'O	Ó
\'P	Ṕ
\'R	Ŕ
\'S	Ś
\'U	Ú
\'W	Ẃ
\'Y	Ý
\'Z	Ź
\'a	á
\'c	ć
\'e	é
\'g	ǵ
\'i	í
\'k	ḱ
\'l	ĺ
\'m	ḿ
\'n	ń
\'o	ó
\'p	ṕ
\'r	ŕ
\'s	ś
\'u	ú
\'w	ẃ
\'y	ý
\'z	ź
\'{A}	Á
\'{C}	Ć
\'{E}	É
\'{G}	Ǵ
\'{I}	Í
\'{K}	Ḱ
\'{L}	Ĺ
\'{M}	Ḿ
\'{N}	Ǹ
\'{O}	Ó
\'{P}	Ṕ
\'{R}	Ŕ
\'{S}	Ś
\'{U}	Ú
\'{W}	Ẃ
\'{Y}	Ý
\'{Z}	Ź
\'{a}	á
\'{c}	ć
\'{e}	é
\'{g}	ǵ
\'{i}	í
\'{k}	ḱ
\'{l}	ĺ
\'{m}	ḿ
\'{n}	ń
\'{o}	ó
\'{p}	ṕ
\'{r}	ŕ
\'{s}	ś
\'{u}	ú
\'{w}	ẃ
\'{y}	ý
\'{z}	ź
\.A	Ȧ
\.B	Ḃ
\.C	Ċ
\.D	Ḋ
\.E	Ė
\.F	Ḟ
\.G	Ġ
\.H	Ḣ
\.I	İ
\.M	Ṁ
\.N	Ṅ
\.O	Ȯ
\.P	Ṗ
\.R	Ṙ
\.S	Ṡ
\.T	Ṫ
\.W	Ẇ
\.X	Ẋ
\.Y	Ẏ
\.Z	Ż
\.a	ȧ
\.b	ḃ
\.c	ċ
\.d	ḋ
\.e	ė
\.f	ḟ
\.g	ġ
\.h	ḣ
\.m	ṁ
\.n	ṅ
\.o	ȯ
\.p	ṗ
\.r	ṙ
\.s	ṡ
\.t	ṫ
\.w	ẇ
\.x	ẋ
\.y	ẏ
\.z	ż
\.{A}	Ȧ
\.{B}	Ḃ
\.{C}	Ċ
\.{D}	Ḋ
\.{E}	Ė
\.{F}	Ḟ
\.{G}	Ġ
\.{H}	Ḣ
\.{I}	İ
\.{M}	Ṁ
\.{N}	Ṅ
\.{O}	Ȯ
\.{P}	Ṗ
\.{R}	Ṙ
\.{S}	Ṡ
\.{T}	Ṫ
\.{W}	Ẇ
\.{X}	Ẋ
\.{Y}	Ẏ
\.{Z}	Ż
\.{a}	ȧ
\.{b}	ḃ
\.{c}	ċ
\.{d}	ḋ
\.{e}	ė
\.{f}	ḟ
\.{g}	ġ
\.{h}	ḣ
\.{m}	ṁ
\.{n}	ṅ
\.{o}	ȯ
\.{p}	ṗ
\.{r}	ṙ
\.{s}	ṡ
\.{t}	ṫ
\.{w}	ẇ
\.{x}	ẋ
\.{y}	ẏ
\.{z}	ż
\=A	Ā
\=E	Ē
\=G	Ḡ
\=I	Ī
\=O	Ō
\=U	Ū
\=Y	Ȳ
\=a	ā
\=e	ē
\=g	ḡ
\=i	ī
\=o	ō
\=u	ū
\=y	ȳ
\={A}	Ā
\={E}	Ē
\={G}	Ḡ
\={I}	Ī
\={O}	Ō
\={U}	Ū
\={Y}	Ȳ
\={a}	ā
\={e}	ē
\={g}	ḡ
\={i}	ī
\={o}	ō
\={u}	ū
\={y}	ȳ
\AA	Å
\AE	Æ
\^A	Â
\^C	Ĉ
\^E	Ê
\^G	Ĝ
\^H	Ĥ
\^I	Î
\^J	Ĵ
\^O	Ô
\^S	Ŝ
\^U	Û
\^W	Ŵ
\^Y	Ŷ
\^Z	Ẑ
\^a	â
\^c	ĉ
\^e	ê
\^g	ĝ
\^h	ĥ
\^i	î
\^j	ĵ
\^o	ô
\^s	ŝ
\^u	û
\^w	ŵ
\^y	ŷ
\^z	ẑ
